"filename", "language", "C#", "XML", "comment", "blank", "total"
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Admin\PlayFabAdminInstanceAPI.cs", "C#", 855, 0, 381, 127, 1363
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Admin\PlayFabAdminModels.cs", "C#", 3839, 0, 3205, 342, 7386
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Admin\PlayFabEvents.cs", "C#", 243, 0, 0, 2, 245
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Authentication\PlayFabAuthenticationAPI.cs", "C#", 44, 0, 19, 15, 78
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Authentication\PlayFabAuthenticationInstanceAPI.cs", "C#", 67, 0, 19, 13, 99
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Authentication\PlayFabAuthenticationModels.cs", "C#", 81, 0, 70, 9, 160
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Authentication\PlayFabEvents.cs", "C#", 13, 0, 0, 2, 15
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Client\PlayFabClientAPI.cs", "C#", 1211, 0, 616, 511, 2338
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Client\PlayFabClientInstanceAPI.cs", "C#", 1234, 0, 616, 179, 2029
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Client\PlayFabClientModels.cs", "C#", 3263, 0, 4126, 401, 7790
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Client\PlayFabDeviceUtil.cs", "C#", 136, 0, 14, 14, 164
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Client\PlayFabEvents.cs", "C#", 324, 0, 0, 3, 327
