Date : 2021-05-03 14:37:03
Directory : e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets
Total : 176 files,  44962 codes, 25144 comments, 8009 blanks, all 78115 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        175 |     44,941 |     25,144 |      8,008 |     78,093 |
| XML      |          1 |         21 |          0 |          1 |         22 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\PlayFabHttp\IPlayFabHttp.cs                         | C#       |         53 |          1 |          6 |         60 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\PlayFabHttp\PlayFabHTTP.cs                          | C#       |        397 |         50 |         51 |        498 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\PlayFabHttp\PlayFabUnityHttp.cs                     | C#       |        247 |          4 |         33 |        284 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\PlayFabHttp\PlayFabWWW.cs                           | C#       |        237 |          4 |         26 |        267 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\PlayFabHttp\PlayFabWebRequest.cs                    | C#       |        442 |         47 |         52 |        541 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\SimpleJson.cs                                       | C#       |      1,603 |        281 |        198 |      2,082 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\SingletonMonoBehaviour.cs                           | C#       |         46 |          5 |          8 |         59 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\Util.cs                                             | C#       |        129 |          9 |         20 |        158 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\wsaReflectionExtensions.cs                          | C#       |         64 |          0 |          3 |         67 |
| e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Ionic.Zlib\CRC32.cs                                          | C#       |        386 |        343 |         87 |        816 |
